,name,city,GD_Name,GD_Med,GD_Act,GD_City,GD_kvk_ref,GD_other_in_list
83,Elst Transport,Breda,                    Elst Transport B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2008                        ,                                Inactief sinds                                 2016                            ,                                KLUNDERT                            ,"['Elst Transport B.V.', 'Leo van der Elst Transport', 'Van Elst Transport B.V.', 'Leo van der Elst Transport B.V.', 'Leo van der Elst Transport B.V. i.o.', 'Elst Speciaal Transport', 'Elst Logistics B.V.', 'Teunissen Transporten Elst', 'W. Van Der Elst Transporten', 'Internationaal Transportbedrijf Elst', 'Transportbedrijf en Brandstoffenhandel A. van der Elst', 'VDL Transport', 'Van Elst Kraanverhuur B.V.', 'Van Elst Containerverhuur en Transportbedrijf', 'Van Elst Transportbedrijf en Containerverhuur', 'TVK Transport B.V.', 'B.V. Internationaal Transportbedrijf W.G. Salari Elst', 'Van de Weerdhof Transport', 'ST Transport', 'RW International Transport B.V.', 'Ari transport', '888 Transport', 'ACM Transport B.V.', 'Weijs Transport B.V.', 'E. van Veenendaal Transport B.V.', 'M van de Vooren Transport', 'Van den Hof Transport', 'N. Teunissen Transport', 'Barthen & Barthen Transport B.V.', 'Van de Weerdhof Transport', 'Gerard Haag Transport', 'Geutjes//MC Intr. Transport', 'Transport Consult Nederland', 'A50 Transport B.V.', 'FH Transport & Logistiek', 'Melis Keukens Warehousing & Transport B.V.', 'SG Transport en grondverzet B.V.', 'F. Hermsen Transport B.V.', 'Jeroen Wagemaker Grondverzet & Transport', 'P.Willems handel, transport & dienstverlening', 'Kr. van Lienden Transport en Expeditie B.V.', 'Jeroen Wagemaker Grondverzet & Transport B.V.', 'HTW Transportdiensten en Dienstverlening', 'Jan Haag Transportbedrijf B.V.', 'DVG Sneltransport en Koeriersdiensten B.V.', 'High profile security', 'Schuijl transport&Dienstverlening', 'Roelofsen Horeca Groothandel B.V.', 'B & B Koeriers V.O.F.', 'Arjan Janssens Transportbedrijf']"
84,ITS Breda BV,Breda,                    ITS Breda B.V.                ,4  werknemers,                            Actief sinds                             2013                        ,                                BREDA                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['ITS Breda B.V.', 'ITS Flex Service B.V.', 'ITS Global B.V.', 'Its my Health B.V.', 'ITS Engineering B.V.', 'ITS Expeditie B.V.', 'ITS RezExchange B.V.', 'ItsYourJob Recruitment B.V.', 'ItsMyLife - Corporate & Individual well-being B.V.', 'Agency 6 B.V.', 'Megekko Webshop B.V.', 'Healthy Solutions B.V.', 'itsme B.V.']"
85,Wauters Global Logistics,Belgium,                    Wauters.PA                ,1  werknemers,                            Actief sinds                             2009                        ,                                BREDA                            ,70221 - Organisatieadviesbureaus                            ,"['Wauters.PA', 'Wauters-van de Voorde Stamrecht B.V.', 'Wauters Mantelzorgmakelaar', 'Wauters-van de Voorde Pensioen B.V.', 'Wauters Hulst B.V.', 'Wauters klussen', 'Wauters Holding B.V.', 'Wauters Technisch Ontwerp', 'Wauters Zeefdruk & Belettering', 'waut', 'Wauters-Leenknegt Pensioen B.V.', 'WAUTAG', 'Wautomotive', 'Wautomotive B.V.', 'WAU! B.V.', 'WAU B.V.', 'WAUS v.o.f.', 'WAUW B.V.', 'WauwPauw', 'Wauw en zo', 'WAUWkom', 'WAUS Events', 'WAUDI Beheer B.V.', 'Wauro beheer B.V.', 'WauW! Bruidsmode', 'WAUW! Creathings', 'WAUW Xperience B.V.', 'Wauw performance', 'WauW Projecten B.V.', 'WAUW communicatie', 'Wauw! beeldwerk', 'Waud', 'Wauw Fashionstore', 'Wauw', 'Wauw', 'W-AUW', 'Wauw', 'Waus', 'WAUW', 'WA & US', 'Wauw', 'WAU What About Users', 'Wauwi', 'Waudt', 'Wauben Projects B.V.', 'WAUW Speciaal voor jou B.V.', 'WAUW Dienstverlening', 'W.A.U.W mode wonen & groen', 'Wauwie', 'W-audio']"
86,CBK Logistics,Venlo,                    CBK Logistics B.V.                ,1  werknemers,                            Actief sinds                             2014                        ,                                VENLO                            ,53202 - Koeriers                            ,['CBK Logistics B.V.']
87,Vale Logistics,Bleiswijk,                    Vale Logistics B.V.                ,37  werknemers,                            Actief sinds                             2019                        ,                                BLEISWIJK                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Vale Logistics B.V.', 'TRABA Logistics B.V.', 'Mega Logistics', 'Linschoten Logistics', 'Traba Donau Logistics B.V.']"
88,Van Dijk Logistics Venray,Venray,                    Van Dijk Logistics Venray B.V.                ,24  werknemers,                            Actief sinds                             1939                        ,                                VENRAY                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Van Dijk Logistics Venray B.V.']
89,LV Logistics (ontstaan uit J. Lensveld & Zonen BV),Vlaardingen,                    LV Logistiek                ,1  werknemers,                            Actief sinds                             2012                        ,                                'S-GRAVENZANDE                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['LV Logistiek', 'J. Lensveld & Zonen B.V.', 'L.V.logestiek', 'LVL100', 'LV Locatieontwikkeling', 'LVL Extra B.V.', 'LvLMR i.l. B.V.', 'L v Lierop', 'LVL Beheer B.V.', 'LvL Trading', 'LvL Horsecare', 'LVL', 'LVL Vastgoed B.V.', 'LVL 0', 'LvL Consultancy', 'LV Lease B.V.', 'LVL Doetinchem B.V.', 'LVL10', 'LVLY Cakes & Cupcakes', 'LVL11', 'LVL B.V.', 'LVL UP', 'LVL Communicatie V.O.F.', 'L. Vliek', 'L. Vlaar', 'LV Lash', 'LvL care', 'LVL9000', 'LVL Style', 'L. Vlieger', 'LV Legal', 'Lvl-up', 'L. Vlassov', 'LVL Music', 'LV Leads B.V.', 'LVL Elite', 'LVL de hulp', 'LVLY Shops', 'L. Vladiana', 'LVL Holding B.V.', 'LVL Module B.V.', 'LVL-11', 'LVL Meerkerk', 'L.V.L. Holding B.V.', 'LVL Projects B.V.', 'LV Licht & Geluid', 'LVL Holding B.V.', 'L. Vlemmings B.V.', 'LvL Producties', 'LVL INDUSTRY B.V.']"
90,Lankveld Logistics B.V.,Donk,                    Van Lankveld Logistics B.V.                ,16  werknemers,                            Actief sinds                             1991                        ,                                BEEK EN DONK                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van Lankveld Logistics B.V.', 'Van Lankveld Theater Logistics B.V.']"
91,24/7 Logistic Solutions B.V.,Heinenoord,                    24/7 Logistic Solutions B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2014                        ,                                HEINENOORD                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['24/7 Logistic Solutions B.V.', 'FW Logistic Solutions B.V.', 'Trading Logistic Solutions B.V.', 'F5 Logistics Solutions B.V.', 'Rainbow Logistics & Solutions B.V.', 'Wiedeman Logistics Solutions B.V.', 'All Form Trading Company B.V.', 'G. Trust Trading Company B.V.', 'F5 Logistics Solutions B.V.', 'Rainbow Logistics & Solutions B.V.', 'Rainbow Logistics & Solutions B.V.']"
92,L.H. Logistics,Breda,                    L.H. Logistics                ,1  werknemers,                            Actief sinds                             2018                        ,                                BREDA                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['L.H. Logistics']
93,Swords Logistics,Eindhoven,                    Swords Logistics                ,2  werknemers,                            Actief sinds                             2007                        ,                                Inactief sinds                                 2016                            ,                                EINDHOVEN                            ,"['Swords Logistics', 'Swords Logistics', 'Swords Logistics B.V.']"
94,Dedicated Logistics Services,Ittervoort,                    Dedicated logistics services                ,1  werknemers,                            Actief sinds                             2016                        ,                                Inactief sinds                                 2020                            ,                                ITTERVOORT                            ,"['Dedicated logistics services', 'MBxpress dedicated logistics services', 'Dedicated Logistics Services B.V.', 'Dedicated Logistics Services International B.V.', 'Van ES dedicated logistics B.V.', 'Beers Logistics B.V.', 'DLS Consultancy']"
95,Twill Logistics,Haag,                    Twillert auto's                ,1  werknemers,                            Actief sinds                             1982                        ,                                Inactief sinds                                 2021                            ,                                NIJKERK GLD                            ,"[""Twillert auto's"", 'Twill B.V.', 'Twillarí', 'T. Willems', 'Twilly B.V.', 'T.Willemse', 'TwillMed B.V.', ""'t Willemientje"", 'Twill Retail B.V.', 'Twilly and More', 'Twilt en Zn. B.V.', 'TWILUNNOA B.V.', 'Twillert Trading', 'Twilwel Projecten', 'Twill Importers B.V.', ""'t Willaer Services"", 'twilsolutions', 'T. Willemsdochter B.V.', 'T. Willemsen Beheer B.V.', 'T.Willemse Consultancy', 'Twils', 'Twilt', ""'t Wild investments B.V."", 'Twil B.V.', 'Twila', 'Twilst', 'Twila', 'Twilite', 'Twiline', 'TWILC B.V.', ""'t Wilgje"", 'Twilp B.V.', 'Twilight', 'Twilight', 'Twilight', 'Twilhaar Bouw en Timmerwerken', ""'t Wildeveld"", 'T. Wilbrink', 'Twilwiel', 'T. Wilbers', 'Twilt Spaanse taal en vertaling', 'twil welzo', 'Twilmij B.V.', 'TwilsTravel', ""Twil's Beheer B.V."", 'Twilhenlo B.V.', 'Twilnist B.V.', ""'t Wilgennest"", ""'t Wilghuuske"", ""'t Wiltholt B.V.""]"
96,Partner Logistics Waalwijk B.V.,Waalwijk,                    Lineage Waalwijk B.V.                ,8  werknemers,                            Actief sinds                             2001                        ,                                WAALWIJK                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Lineage Waalwijk B.V.', 'Lineage Waalwijk II B.V.']"
97,Slimm Logistics Bv,Rotterdam,                    Slimm Logistics B.V.                ,10  werknemers,                            Actief sinds                             2018                        ,                                ROTTERDAM                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Slimm Logistics B.V.', 'Djinny Logistiek B.V.']"
98,Serpenti Logistics BV,Reuver,                    Serpenti Logistics B.V.                ,1  werknemers,                            Actief sinds                             2015                        ,                                REUVER                            ,7490 - Overige specialistische zakelijke dienstverlening                            ,['Serpenti Logistics B.V.']
99,Trans European Logistics Bv,Rotterdam,                    Trans European Logistics B.V.                ,2  werknemers,                            Actief sinds                             2019                        ,                                BOTLEK ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Trans European Logistics B.V.', 'Jan Krediet Logistics B.V.', 'Verhoeven Internationaal Transport B.V.', 'JT Companies B.V.', 'Damco Netherlands B.V.']"
100,JeCeTe Logistics B.V.,Schiedam,                    JeCeTe Logistics B.V.                ,25  werknemers,                            Actief sinds                             2000                        ,                                SCHIEDAM                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['JeCeTe Logistics B.V.']
101,Dds Logistics B.v.,Eindhoven,                    DDS Logistics B.V.                ,7  werknemers,                            Actief sinds                             2018                        ,                                EINDHOVEN                            ,5221 - Dienstverlening voor vervoer over land                            ,"['DDS Logistics B.V.', 'Bas Bos Logistics B.V.']"
102,ChainCargo,Eindhoven,                    ChainCargo B.V.                ,15  werknemers,                            Actief sinds                             2018                        ,                                EINDHOVEN                            ,70221 - Organisatieadviesbureaus                            ,"['ChainCargo B.V.', 'ChainCargo Holding B.V.', 'Stichting Administratiekantoor ChainCargo Holding Participatie', 'MaCo Logistics B.V.']"
103,HLS Logistics B.V.,Eindhoven,                    HLS Logistics B.V.                ,5  werknemers,                            Actief sinds                             2020                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['HLS Logistics B.V.']
104,IG Logistics B.V.,Amsterdam,                    IG Logistics B.V.                ,2  werknemers,                            Actief sinds                             2007                        ,                                AMSTERDAM                            ,4942 - Verhuisvervoer                            ,['IG Logistics B.V.']
105,Aramex,Eindhoven,                    Aramex Nederland B.V.                ,26  werknemers,                            Actief sinds                             2003                        ,                                OUDE MEER                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Aramex Nederland B.V.', 'Aramex Nederland B.V.', 'Aramex Nederland B.V.', 'Aramex Nederland B.V.', 'Aramex Nederland B.V.']"
106,Crane Worldwide Logistics,Rozenburg,                    Crane Worldwide Logistics B.V.                ,25  werknemers,                            Actief sinds                             2009                        ,                                ROZENBURG NH                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.']"
107,BBC Express BV,Tilburg,                    BBC Express B.V.                ,4  werknemers,                            Actief sinds                             2018                        ,                                TILBURG                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['BBC Express B.V.', 'BBC Express Holding B.V.', 'BBC Express Personeel B.V.']"
108,EMQ Logistics B.V.,Rotterdam,                    EMQ Logistics B.V.                ,9  werknemers,                            Actief sinds                             2013                        ,                                HOOGVLIET ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['EMQ Logistics B.V.', 'EMQ Logistics Holding B.V.', 'EMQ Logistics Holding B.V.']"
109,ELS-Logistics B.V.,Haag,                    ELS-Logistics B.V.                ,29  werknemers,                            Actief sinds                             2005                        ,                                'S-GRAVENHAGE                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['ELS-Logistics B.V.', 'Elst Logistics B.V.', 'LEF Elst B.V.', 'van Elst B.V.', 'X-Els II B.V.', 'ELS LP B.V.', 'ELSA B.V.', 'RW Elst B.V.', 'Simako-BDM Elst B.V.', 'J.P. v.d. Elst B.V.', 'De Els B.V.', 'TP Elsloo B.V.', 'ELSSC B.V.', 'ElSof B.V.', 'Elshout II B.V.', 'S.J.M. van Elst B.V.', 'DROOM Elst B.V.', 'EDC Elswout B.V.', 'JenS Elst B.V.', 'AES Elsta B.V.', 'ElsenKes B.V.', 'Elsloo Logies B.V.', 'Els de Groot B.V.', 'DFA Logistics B.V.', 'W.J.T. den Elsen B.V.', 'De pot van Elsje Fieder Elsje B.V.', 'GST Logistics B.V.', 'ELS Beheer B.V.', 'Elswart II B.V.', 'B. de Winter Elst Beheer B.V.', 'Elsrijk OG B.V.', 'LB-Logistics B.V.', 'VN Logistics B.V.', 'Van der Meer Beheer Elst B.V.', 'BK Logistics B.V.', 'HE Logistics B.V.', 'EB Holding Elst B.V.', 'ELS Holding B.V.', 'van Els Beheer B.V.', 'Everyday Fit Elst B.V.', 'JM Logistics B.V.', 'STL Logistics B.V.', 'CTR Logistics B.V.', 'TLS Logistics B.V.', 'J. van Els Beheer B.V.', 'Els van der Kleij B.V.', 'Elspa B.V.', 'TSC Logistics B.V.', 'DJK Logistics B.V.', 'Elski B.V.']"
110,DR Logistics BV,Rodenrijs,                    DR Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2020                        ,                                BERKEL EN RODENRIJS                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['DR Logistics B.V.', 'PT Logistics B.V.', 'Sluyter Logistics Assen B.V.', 'P.A. van Rooyen Logistics B.V.', 'Correct Logistics NL B.V.', 'Central Transport Logistics B.V.', 'Dr. Fix B.V.']"
111,BK Logistics B.V.,Best,                    BK Logistics B.V.                ,7  werknemers,                            Actief sinds                             2011                        ,                                BEST                            ,53202 - Koeriers                            ,"['BK Logistics B.V.', 'BK Logistics Group B.V.', 'BK Pharma Logistics B.V.', 'H&A Logistics B.V.']"
112,Falcon Logistics,Hoofddorp,                    Falcon Logistics                ,1  werknemers,                            Actief sinds                             2021                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Falcon Logistics', 'FALCON LOGISTICS B.V.', 'Falconberry Logistics B.V.']"
113,ATM Logistics,Rijen,                    ATM Logistics                ,12  werknemers,                            Actief sinds                             2008                        ,                                RIJEN                            ,53202 - Koeriers                            ,"['ATM Logistics', 'ATM Logistics B.V.', 'Roadtrans Expeditie B.V.']"
114,Van Leeuwen Logistics B.V.,IJssel,                    Van Leeuwen Logistics B.V.                ,20  werknemers,                            Actief sinds                             2005                        ,                                KRIMPEN AAN DEN IJSSEL                            ,6420 - Financiële holdings                            ,"['Van Leeuwen Logistics B.V.', 'Van Leeuwen Container Service B.V.', 'Digiforce Logistics B.V.', 'Martrosa International Logistics B.V.', 'Co-Logistics B.V.', '7th.Label B.V.']"
115,4 Logistics Netherlands B.V.,Oudenbosch,                    4 Logistics Netherlands B.V.                ,4  werknemers,                            Actief sinds                             2015                        ,                                OUDENBOSCH                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['4 Logistics Netherlands B.V.', 'TB Logistics Netherlands B.V.', 'RKB Logistics Netherlands B.V.', 'VLS-Group Logistics Netherlands B.V.', 'BOLLORÉ LOGISTICS NETHERLANDS B.V.', 'CEVA Logistics Netherlands B.V.', 'NNR Global Logistics Netherlands B.V.', 'GXO LOGISTICS NETHERLANDS B.V.', 'Noatum Logistics Netherlands B.V.', 'GXO LOGISTICS NETHERLANDS II B.V.', 'GXO LOGISTICS NETHERLANDS III B.V.', 'MOL Logistics (Netherlands) B.V.', 'AUK Logistics Netherlands B.V.', 'CGATE Logistics Netherlands B.V.', 'AO Logistics (Netherlands) B.V.', 'NeWay Logistics Netherlands B.V.', 'PEGA Logistics (Netherlands) B.V.', 'JKV Logistics Netherlands B.V.', 'XPO Logistics Netherlands B.V.', 'Scania Logistics Netherlands B.V.', 'SEKO Logistics Netherlands B.V.', 'Fiege Logistics Netherlands B.V.', 'Mateo Logistics Netherlands B.V.', 'Polar Logistics Netherlands B.V.', 'Fleet Logistics Netherlands B.V.', 'IC Logistics Netherlands II B.V.', 'IC Logistics Netherlands IV B.V.', 'Vientiane Logistics Netherlands B.V.', 'Yumoto Logistics Netherlands B.V.', 'IC Logistics Netherlands I B.V.', 'Shamal Logistics Netherlands B.V.', 'IC Logistics Netherlands III B.V.', 'Clipper Logistics Netherlands B.V.', 'Ferrari Logistics Netherlands B.V.', 'Manuport Logistics Netherlands B.V.', 'Publiship Logistics Netherlands B.V.', 'Dylan Logistics Netherlands B.V.', 'Eppendorf Logistics Netherlands B.V.', 'DP World Logistics Netherlands B.V.', 'Fahrenheit Logistics Netherlands B.V.', 'Tailormade Logistics Netherlands B.V.', 'Kerry Logistics (Netherlands) B.V.', 'GXO LOGISTICS SERVICES NETHERLANDS B.V.', 'KC International Netherlands B.V.', 'M+M Hechme Logistics Netherlands B.V.', 'Ledirainbow Logistics Netherlands B.V.', 'SE Netherlands Logistics Holding B.V.', 'LOTTE GLOBAL LOGISTICS (NETHERLANDS) B.V.', 'Source Beauty Logistics Netherlands B.V.', 'APL Logistics Europe B.V.']"
116,JTS Logistics BV,Roosendaal,                    J.T.S. Logistics B.V.                ,15  werknemers,                            Actief sinds                             2009                        ,                                ROOSENDAAL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['J.T.S. Logistics B.V.']
117,Stella Container Logistics BV,Rotterdam-Albrandswaard,                    Stella Container Logistics B.V.                ,7  werknemers,                            Actief sinds                             2004                        ,                                ROTTERDAM-ALBRANDSWAARD                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Stella Container Logistics B.V.']
118,KS Project Logistics,Moerdijk,                    KS Project Logistics B.V.                ,25  werknemers,                            Actief sinds                             2008                        ,                                MOERDIJK                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ","['KS Project Logistics B.V.', 'KS Project Logistics B.V.', 'KS Project Logistics B.V.']"
119,TLogistics,Rijen,                    TLogistics B.V.                ,1  werknemers,                            Actief sinds                             2010                        ,                                RIJEN                            ,70221 - Organisatieadviesbureaus                            ,"['TLogistics B.V.', 'TLogistics Fulfilment Solutions B.V.']"
120,Witlox Logistics BV,Hilvarenbeek,                    Witlox Logistics Oirschot B.V.                ,21  werknemers,                            Actief sinds                             2012                        ,                                HILVARENBEEK                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Witlox Logistics Oirschot B.V.']
121,DBT Logistics,Belgium,                    DBT Loonbedrijf                ,1  werknemers,                            Actief sinds                             2010                        ,                                SCHIEDAM                            ,43999 - Overige gespecialiseerde werkzaamheden in de bouw (rest)                            ,"['DBT Loonbedrijf', 'DBTL NL B.V.', 'DBTA', 'DBT', 'dbtec', 'DBtech', 'DBTS B.V.', 'DBT NL B.V.', 'DBT Goes', 'DBTT B.V.', 'DB Tech-Mix', 'DB Twelve B.V.', 'DB Transfer', 'D & B Trade GmbH', 'DB Tilburg 1 B.V.', 'dbtb holding B.V.', 'DBtotaalbouw', 'DBT Klus & Onderhoud', 'db technologies B.V.', 'dbt cadeauservice', 'D.B.T.O.', 'DB Transporten B.V.', 'DB Tegelzetbedrijf', 'DB Timber Holding B.V.', 'DBT Tussenholding B.V.', 'db Technical Support', 'DB-tas', 'DB TAXI', 'DBtech', 'DB Trading Company B.V.', 'dbtrainingscentrum', 'DB Totaal Materieel B.V.', 'DB TECK', 'DB Tech', 'DB Trans', 'DBTS B.V.', 'Dbt Bouw', 'DBTrans', 'DBT-Zuid', 'DBT I.S. B.V.', 'DB Tales', 'DB Talent & Ontwikkeling', 'DB Totaal Beheer B.V.', 'D.B. Tönder', 'DB Trust', 'DBT E.S. B.V.', 'DB-Teg B.V.', 'DB Tekst en Communicatie', 'dBTracks', 'DB Tuinen']"
122,MNG Logistics,Oss,                    MNG Logistics                ,4  werknemers,                            Actief sinds                             2014                        ,                                OSS                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['MNG Logistics']
123,Hiram transport,Breda,                    Hiram transport                ,2  werknemers,                            Actief sinds                             2015                        ,                                BREDA                            ,4120 - Algemene burgerlijke en utiliteitsbouw                            ,"['Hiram transport', 'Hiram transport', 'Hiram Transport B.V.']"
124,M4 Transport & Logistics,Tilburg,                    M4 Transport & Logistics                ,2  werknemers,                            Actief sinds                             2007                        ,                                Inactief sinds                                 2014                            ,                                TILBURG                            ,"['M4 Transport & Logistics', 'M4 Transport & Logistics B.V.']"
125,Weiner Logistics Bv,Amstelveen,                    Weiner Logistics B.V.                ,8  werknemers,                            Actief sinds                             2007                        ,                                Inactief sinds                                 2022                            ,                                AMSTELVEEN                            ,['Weiner Logistics B.V.']
126,Lion Logistics Oss,Oss,                    Lion Logistics                ,6  werknemers,                            Actief sinds                             2013                        ,                                Inactief sinds                                 2017                            ,                                OSS                            ,"['Lion Logistics', 'Lion Logistics V.O.F.']"
127,Broekman Logistics Limburg B.V.,Tilburg,                    Broekman Logistics Limburg B.V.                ,96  werknemers,                            Actief sinds                             1981                        ,                                ROTTERDAM                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ","['Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.']"
128,Bulk Logistic Solutions (BLS) B.V.,Barendrecht,                    Bulk Logistic Solutions (BLS) B.V.                ,7  werknemers,                            Actief sinds                             2008                        ,                                BARENDRECHT                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Bulk Logistic Solutions (BLS) B.V.']
129,Sitex Logistics,Belgium,                    Sitex Lease B.V.                ,1  werknemers,                            Actief sinds                             2001                        ,                                DIEMEN                            ,77112 - Operational lease van personenauto’s en lichte bedrijfsauto’s                            ,"['Sitex Lease B.V.', 'Site XS Internet B.V.', 'Site.nl', 'SiteOn', 'S&I Tech', 'Sitenzo', 'SiteCLX', 'Sites & zo', 'SiteBee', 'Siteapps', 'SiteWijs', 'SiteFuel', 'SitelinQ', 'Siteseen', 'SiteDsign', 'SiteCoach', 'Site&Write', 'sitefit v.o.f.', 'SiteOne.NL', 'SiteGroei', 'SiteDish.nl', 'Site-Kick.nl', 'SiteAdvice', 'SiteSister', 'Site Leasen', 'Sites4Hire', 'SitePlanet', 'SITEONLINE', 'SiteTrack B.V.', 'SiteMasters', 'SiteVisions', 'Site and Cash', 'siteliner.nl', 'SiteRefresh', 'SiteRadar B.V.', 'SiteCreating', 'SiteforSites', 'SiteSoSimple', 'Site by Site B.V.', 'Sites4Less V.O.F.', 'SiteOrigin B.V.', 'Site2Impress', 'Sitech IAZI B.V.', 'Sitex Electronics B.V.', 'Site2Mobile B.V.', 'SITE Holding B.V.', 'SITE Holding B.V.', 'SiteSelective', 'SiteWeb', 'SiteData B.V.']"
130,The New Logistics Company,Lier,                    Euro Exotics Holland B.V.                ,9  werknemers,                            Actief sinds                             1991                        ,                                DE LIER                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Euro Exotics Holland B.V.', 'Euro Exotics Holland B.V.']"
131,CJ Logistics Europe B.V.,Oosterhout,                    CJ Logistics Europe B.V.                ,10  werknemers,                            Actief sinds                             2003                        ,                                OOSTERHOUT NB                            ,"52241 - Laad-, los- en overslagactiviteiten voor zeevaart                            ",['CJ Logistics Europe B.V.']
132,Van Steenbergen Logistics,Belgium,                    D. Maas Logistics                ,1  werknemers,                            Actief sinds                             2014                        ,                                STEENBERGEN NB                            ,70221 - Organisatieadviesbureaus                            ,['D. Maas Logistics']
133,Bemotrans Freight Forwarding B.V.,Oirschot,                    Bemotrans Freight Forwarding B.V.                ,1  werknemers,                            Actief sinds                             1990                        ,                                OOST WEST EN MIDDELBEERS                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Bemotrans Freight Forwarding B.V.', 'Bemotrans Freight Forwarding B.V.']"
134,TCI International Logistics B.V.,Rotterdam,                    TCI International Logistics B.V.                ,8  werknemers,                            Actief sinds                             1996                        ,                                HOOGVLIET ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['TCI International Logistics B.V.']
135,Van der Velden logistics BV,Pijnacker,                    Van der Velden Logistics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2019                        ,                                PIJNACKER                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Van der Velden Logistics B.V.', 'Schouten van der Velden Logistics B.V.']"
136,Kerry Logistics (Netherlands) BV,Rotterdam,                    Kerry Logistics (Netherlands) B.V.                ,27  werknemers,                            Actief sinds                             1994                        ,                                ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Kerry Logistics (Netherlands) B.V.', 'Kerry Logistics Holding B.V.', 'Kerry Logistics (Netherlands) B.V.', 'Kerry Logistics (Netherlands) B.V.']"
