,Unnamed: 0.1,Unnamed: 0,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang,Negative,Neutral,Positive,Roberta_Sentiment
2036,2036,2945,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,LOTzI,0,20,2021-09-27 21:32:38,2022-09-30,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2039,2039,5649,DNA United Forwarders Ltd.,Freight forwarding service,51.5018037,4.7514188,Breda,4.4,81,Irx2x,1,199,2021-09-27 21:32:38,2022-09-23,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2040,2040,5767,Speedliner Logistics BV,Logistics service,51.5919545,5.0236385,Tilburg,3.8,55,ZbLr^,1,32,2022-07-28 21:32:38,2022-09-24,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2044,2044,2909,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,)9gUD,0,50,2021-09-27 21:32:38,2022-09-30,1," Watch out if you see driving! Stopping in front of a pedestrian crossing is not an option

",NOT_ENG,63.60078454017639,33.43268036842346,2.966532111167908,Negative
2045,2045,2910,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,bSMyC,0,8,2021-09-27 21:32:38,2022-09-30,5," Neat company. Comes when they say they are coming.

",NOT_ENG,2.350877597928047,40.2585357427597,57.39058256149292,Positive
2046,2046,2911,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,eNZZ6,1,59,2021-09-27 21:32:38,2022-09-30,5," I don't understand those negative reactions. had top serves and everything quickly and on time

",NOT_ENG,61.75638437271118,34.24952924251556,3.994082659482956,Negative
2047,2047,2912,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,BzyHo,1,37,2018-09-27 21:32:38,2022-09-30,1," Employees of this company do not speak Dutch (or English) in Flanders.

",NOT_ENG,91.25978350639343,8.296693861484528,0.4435169044882059,Negative
2048,2048,2913,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,)KTUI,0,16,2021-09-27 21:32:38,2022-09-30,5," Clear communication, smooth delivery and a very friendly and helpful driver.

",NOT_ENG,0.252802693285048,4.444931447505951,95.30225396156311,Positive
2049,2049,2914,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,xj44),0,4,2021-09-27 21:32:38,2022-09-30,1," True-to-no company, no communication and no product at the agreed time.

",NOT_ENG,61.60288453102112,35.38179695606232,3.015312179923058,Negative
2050,2050,2915,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,x#RJN,1,67,2021-09-27 21:32:38,2022-09-30,5," Friendly people here.

",NOT_ENG,0.6963524036109447,11.58238872885704,87.72125244140625,Positive
2051,2051,2916,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,m73k!,1,77,2022-03-27 21:32:38,2022-09-30,2," Lack of packages in the delivery batch...

",NOT_ENG,68.15162301063538,30.40341734886169,1.444954890757799,Negative
2052,2052,2917,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,v36as,1,24,2020-09-27 21:32:38,2022-09-30,1," If you are an anti-social driver then you are in the right place at this company.

",NOT_ENG,29.89954650402069,47.411048412323,22.68940806388855,Neutral
2053,2053,2918,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,IYRNz,0,10,2019-09-27 21:32:38,2022-09-30,5," Very flexible and thought along in a combined delivery, which saved me a lot of time in the renovation.

",NOT_ENG,0.6519599817693233,11.65804490447044,87.68998980522156,Positive
2054,2054,2919,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,nLQ!F,0,11,2022-06-27 21:32:38,2022-09-30,1," Very unpleasant delivery man.

",NOT_ENG,95.86445689201355,3.685910254716873,0.4496370442211628,Negative
2055,2055,2920,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,9tX2w,1,145,2021-09-27 21:32:38,2022-09-30,4," Nice delivery man, just too early

",NOT_ENG,26.73211693763733,37.73877024650574,35.52910685539246,Neutral
2056,2056,2921,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,$3ZGP,1,2,2020-09-27 21:32:38,2022-09-30,2," Unintelligible and rude delivery person. Fortunately on time, otherwise 1 star

",NOT_ENG,78.63978147506714,17.33071953058243,4.029492661356926,Negative
2057,2057,2922,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,dr(!8,0,1,2019-09-27 21:32:38,2022-09-30,5," Friendly driver, nicely called 15 minutes before he arrived, perfect !!!!!!!

",NOT_ENG,0.441032787784934,3.312640264630318,96.246337890625,Positive
2058,2058,2923,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,L2PYo,0,11,2020-09-27 21:32:38,2022-09-30,5," Fast delivery, friendly service and good contact with the seller .👍

",NOT_ENG,0.2382308710366488,5.445298552513123,94.31647062301636,Positive
2059,2059,2924,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,ODHC8,0,13,2021-09-27 21:32:38,2022-09-30,1," the worst experience ever

",NOT_ENG,96.0386335849762,3.400398790836334,0.5609598476439714,Negative
2060,2060,2925,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,*eKSq,1,48,2021-09-27 21:32:38,2022-09-30,4," /amended. Now to see if they actually fix it. Edit: yes

",NOT_ENG,8.556073904037476,78.07779312133789,13.36613744497299,Neutral
2061,2061,2926,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,yOHQ*,0,3,2017-09-27 21:32:38,2022-09-30,5," The order is neatly delivered on the agreed day and time!

",NOT_ENG,0.4739621188491583,15.01209139823914,84.51394438743591,Positive
2062,2062,2927,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,!nYA6,0,7,2021-09-27 21:32:38,2022-09-30,5," good experience, nothing to criticize👍

",NOT_ENG,0.9927384555339813,7.129120081663132,91.87813997268677,Positive
2063,2063,2928,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,r$TOX,1,101,2021-09-27 21:32:38,2022-09-30,4," First service

",NOT_ENG,13.84111493825912,68.76392960548401,17.39495694637299,Neutral
2065,2065,2929,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,1O8yp,0,23,2022-07-28 21:32:38,2022-09-30,5," Fast unloading

",NOT_ENG,10.54048463702202,76.56439542770386,12.89510726928711,Neutral
2069,2069,3937,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,Aa3Gb,1,74,2020-09-27 21:32:38,2022-09-29,5," Fast unloading

",NOT_ENG,10.54048463702202,76.56439542770386,12.89510726928711,Neutral
2070,2070,3939,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,nDVwO,1,1124,2020-09-27 21:32:38,2022-09-29,5," Fast unloading

",NOT_ENG,10.54048463702202,76.56439542770386,12.89510726928711,Neutral
2071,2071,6546,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,$MWWs,1,30,2021-12-26 21:32:38,2022-09-25,5," Fast unloading

",NOT_ENG,10.54048463702202,76.56439542770386,12.89510726928711,Neutral
2073,2073,2930,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,xesey,0,9,2019-09-27 21:32:38,2022-09-30,1," Bad delivery people

",NOT_ENG,90.07211327552795,8.923321217298508,1.004582364112139,Negative
2074,2074,2931,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,wXbD0,1,344,2020-09-27 21:32:38,2022-09-30,5," Nice customer

",NOT_ENG,2.164937183260918,16.26950204372406,81.5655529499054,Positive
2075,2075,2932,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,H8BKq,0,5,2022-07-28 21:32:38,2022-09-30,1," Bad service

",NOT_ENG,89.23338651657104,9.762556105852127,1.004050858318806,Negative
2076,2076,2933,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,ZGrjJ,0,3,2020-09-27 21:32:38,2022-09-30,5," Neatly on time. Polite young man.

",NOT_ENG,0.6656520068645477,9.047487378120422,90.28685688972473,Positive
2077,2077,2934,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,3@$oR,0,19,2020-09-27 21:32:38,2022-09-30,1," 0 stars. Rude, unprofessional.

",NOT_ENG,95.96047401428223,3.465932235121727,0.5735964979976416,Negative
2078,2078,2935,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,tAI#&,0,1,2017-09-27 21:32:38,2022-09-30,5," order is delivered on time

",NOT_ENG,1.001514494419098,24.78294372558594,74.2155373096466,Positive
2079,2079,2936,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,aQyKt,1,233,2022-04-27 21:32:38,2022-09-30,4," Friendly driver

",NOT_ENG,1.404244545847178,34.23736393451691,64.35840129852295,Positive
2080,2080,2937,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,LWwJ7,0,11,2019-09-27 21:32:38,2022-09-30,1," Don't keep appointments.

",NOT_ENG,46.17432355880737,50.85753798484802,2.968128398060799,Neutral
2081,2081,2938,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,4owYb,0,4,2020-09-27 21:32:38,2022-09-30,5," Good delivery, friendly man

",NOT_ENG,0.6756279151886702,6.756985187530518,92.56738424301147,Positive
2082,2082,2939,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,RDTAK,1,483,2021-09-27 21:32:38,2022-09-30,4," Neatly delivered

",NOT_ENG,0.9868567809462547,17.06132739782333,81.95180892944336,Positive
2083,2083,2940,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,rCF8T,1,191,2021-09-27 21:32:38,2022-09-30,1," Nothing is going well here!

",NOT_ENG,94.60631608963013,5.029534921050072,0.3641313407570124,Negative
2085,2085,2941,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,Ouyd#,0,20,2018-09-27 21:32:38,2022-09-30,5," Ks

",NOT_ENG,24.06609058380127,54.80730533599854,21.12659811973572,Neutral
2086,2086,2942,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,*GruZ,0,33,2017-09-27 21:32:38,2022-09-30,1," Crappy ball tent !!!

",NOT_ENG,24.59293454885483,53.38210463523865,22.02496081590652,Neutral
2087,2087,2943,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,WsaO9,1,34,2021-09-27 21:32:38,2022-09-30,4," Neat and on time.

",NOT_ENG,0.8210343308746815,27.6758998632431,71.50305509567261,Positive
2090,2090,576,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,xq0iX,1,68,2017-09-27 21:32:38,2022-09-29,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2092,2092,2908,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,dKz!9,1,68,2022-07-28 21:32:38,2022-09-30,4," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2093,2093,2945,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,LOTzI,0,20,2021-09-27 21:32:38,2022-09-30,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2096,2096,5649,DNA United Forwarders Ltd.,Freight forwarding service,51.5018037,4.7514188,Breda,4.4,81,Irx2x,1,199,2021-09-27 21:32:38,2022-09-23,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2097,2097,5767,Speedliner Logistics BV,Logistics service,51.5919545,5.0236385,Tilburg,3.8,55,ZbLr^,1,32,2022-07-28 21:32:38,2022-09-24,5," Good

",NOT_ENG,5.880030617117882,33.53113532066345,60.58883666992188,Positive
2101,2101,2946,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,OeUJ1,0,13,2021-09-27 21:32:38,2022-09-30,1," Terrible Company and Service !!!!

",NOT_ENG,96.78837060928345,2.706664241850376,0.5049796309322119,Negative
2103,2103,2947,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,^&5Xc,1,21,2015-09-27 21:32:38,2022-09-30,4," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
2104,2104,4273,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,&B*Jb,1,20,2017-09-27 21:32:38,2022-09-24,5," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
2105,2105,4898,Vortex Logistics,Logistics service,51.8471642,5.8087494,Nijmegen,4.3,42,(MC#J,1,17,2019-09-27 21:32:38,2022-09-24,5," Work

",NOT_ENG,24.63667839765549,59.45582985877991,15.90749323368073,Neutral
2106,2106,2948,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,zgeD3,0,2,2020-09-27 21:32:38,2022-09-30,1," Bad company !!!

",NOT_ENG,89.99935984611511,8.733414113521576,1.26723125576973,Negative
2107,2107,2949,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,ll7cA,0,2,2017-09-27 21:32:38,2022-09-30,1," cunt

",NOT_ENG,85.30803322792053,11.5771658718586,3.114795871078968,Negative
2108,2108,577,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,Hlqfm,1,81,2017-09-27 21:32:38,2022-09-29,5," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
2110,2110,2950,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,ffCgK,1,26,2021-09-27 21:32:38,2022-09-30,4," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
2113,2113,4696,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,t2Hoj,1,183,2019-09-27 21:32:38,2022-09-25,5," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
2114,2114,6542,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,Irx2x,1,199,2021-09-27 21:32:38,2022-09-25,3," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
2117,2117,2951,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,W3s2z,0,1,2020-09-27 21:32:38,2022-09-30,1," Terrible

",NOT_ENG,95.0171411037445,4.410488903522491,0.5723620764911175,Negative
2119,2119,3026,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,!5DPi,0,4,2022-09-24 21:32:38,2022-09-30,5," Fast delivery, friendly staff

",NOT_ENG,0.4798207897692919,10.62024310231209,88.89995217323303,Positive
2120,2120,3035,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,mis@u,0,1,2022-09-27 01:32:38,2022-09-30,1," Very bad at keeping and making appointments. Ordered something at the Hornbach. Then agreed with Van Spreuwel Transport what is not possible in terms of delivery and then just do what you feel like in terms of delivery time. Even after calling them very clearly 3x about the delivery time. I won't order from the Hornbach again as long as this company drives for them.
And you also pay €124,- shipping costs for that.

",NOT_ENG,91.56745672225952,7.489652186632156,0.9428928606212139,Negative
2122,2122,3050,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,qeNQl,1,163,2022-05-28 21:32:38,2022-09-24,1,"For me, one of worst company for loading goods.
For first when I came and go to office, tell me loading after 17h, beocuse waiting one pallet from somewhere. Ok, Im waiting more than 7h for loading, and when start with loading load only 2 pallets and stop, go to loading company trailer, and then come back to me to loading rest.
Papers waiting as same.
To bad for driver.",ENG,87.31737732887268,11.30241230130196,1.380209159106016,Negative
2123,2123,3051,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,tjNb9,1,45,2018-09-27 21:32:38,2022-09-24,5,"The Best place on Word. Good people, Fast unloading, fast loading. Respect for the client.",ENG,0.2463845536112785,3.540665283799171,96.2129533290863,Positive
2124,2124,3052,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,PYoX*,0,4,2021-09-27 21:32:38,2022-09-24,5,Great place.,ENG,0.6179421208798885,7.452532649040222,91.92951917648315,Positive
2125,2125,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2126,2126,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2127,2127,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2132,2132,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2134,2134,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2136,2136,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2137,2137,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2139,2139,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2140,2140,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2142,2142,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2147,2147,3054,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,5a1PV,0,4,2021-12-26 21:32:38,2022-09-24,5,Simply the best 👏👏👏,ENG,0.5906445439904928,5.313524603843689,94.09581422805786,Positive
2148,2148,791,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,6kb#S,0,152,2021-09-27 21:32:38,2022-09-23,4,Ok.,ENG,16.48976653814316,52.47964262962341,31.03058934211731,Neutral
2149,2149,3055,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,QfY)K,1,13,2019-09-27 21:32:38,2022-09-24,5,Ok.,ENG,16.48976653814316,52.47964262962341,31.03058934211731,Neutral
2150,2150,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2151,2151,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2152,2152,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2157,2157,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2159,2159,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2161,2161,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2162,2162,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2164,2164,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2165,2165,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2167,2167,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
2172,2172,3057,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,D3uTd,0,39,2022-06-27 21:32:38,2022-09-24,5," Nice team. Downloaded quickly. Near the office there is a rest room for the staff, there is a shower, toilet, kitchen. You cannot spend the night on the territory, but you can stay near the company itself, they are open until 18.00

",NOT_ENG,1.231128815561533,16.255784034729,82.51310586929321,Positive
2173,2173,3058,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yZ&ku,0,81,2021-11-25 21:32:38,2022-09-24,1," We have to wait a long time. One person at the unloading. Until it does its job you will not be suitable for unloading

",NOT_ENG,67.61229038238525,29.60002422332764,2.78768502175808,Negative
2174,2174,3059,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,C#G4F,1,269,2022-01-25 21:32:38,2022-09-24,4," Company and logistics reloading. fast loading. Close to parking lots so that all Ok.

",NOT_ENG,1.375356689095497,52.80281901359558,45.82183957099915,Neutral
2175,2175,3060,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,8P&qq,1,69,2021-09-27 21:32:38,2022-09-24,5," Planning is customer-oriented and thinks along with you to make the customer satisfied! I'm happy with it!

",NOT_ENG,0.1414268277585506,2.293167263269424,97.56540656089783,Positive
2176,2176,3061,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,qI2sp,1,24,2019-09-27 21:32:38,2022-09-24,1," At Schavemaker Transport BV in Breda two Polish drivers with iron bars were beaten this morning by security guards hired by the management.

The Polish part of SchavemakerTransport, Schavemaker Poland, has been on strike since Friday for a better wage. They receive 700 euros per month, regardless of the number of overtime hours. Other drivers from Schavemaker Poland are on strike in Spain, France, Poland and the Netherlands.
 
Nine Polish drivers in Breda had been locked up on the Schavemaker site since Friday in the cabin of their truck, so that it could not be driven away by others. The management of Schavemaker has hired a Ukrainian security company to put an end to the strike. These â € œprotectorsâ € broke into a side window of one of the lorries and forced the Polish driver out of his cab. A second driver was also abused, after which the remaining strikers intimidatedly left their car.

Reinier Stroo
 
FNV Bondgenoten director: â € œItâ € ™ s crazy for words. Firstly, you resolve a dispute through consultation. And if that doesn't work, you call the police. You're not going to hire a security company to solve your problems? Secondly, I think the strike is justified, the wage is much too low. A good development that the Polish employees realize that they do not have to work for a hunger wage.â €   

One of the two Polish drivers was transported by ambulance. The second is treated on the spot for, presumably, a broken nose. The four security guards were arrested by the police and the director, Henk Schavemaker, was taken to the office for questioning. Trade union official Stroo also issued a statement to the police of what he found.

",NOT_ENG,53.28530073165894,41.85544550418854,4.859244450926781,Negative
2177,2177,3062,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,BXbKH,0,59,2022-06-27 21:32:38,2022-09-24,5," Ok parking in the area

",NOT_ENG,4.591785743832588,77.77493596076965,17.63329356908798,Neutral
2178,2178,3063,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,SN5wX,1,129,2019-09-27 21:32:38,2022-09-24,3," I did some courses for them. Zbiorówki. If you like to travel around France or the Netherlands. Good communication with administrators. But I prefer tank chemistry.

",NOT_ENG,1.598884724080563,37.82332241535187,60.577791929245,Positive
2179,2179,3064,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,VJY1p,1,22,2017-09-27 21:32:38,2022-09-24,5," Schavemaker database. If you work for them, you can use a protected parking lot, full social facilities (toilets, showers, laundry room with drying room, kitchen, canteen, wifi). An atmosphere of kindness between drivers of different nations. Nice.

",NOT_ENG,0.8143650367856026,9.777568280696869,89.40806984901428,Positive
2180,2180,3065,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,!zK2q,1,144,2019-09-27 21:32:38,2022-09-24,5," Peoples 10, do not let you wait. I'll take you immediately in the welcome. JOS hat.

",NOT_ENG,1.383688487112522,39.91428315639496,58.70203375816345,Positive
2181,2181,3066,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,2ReZm,0,8,2021-09-27 21:32:38,2022-09-24,5," Super is a shower toilet parking

",NOT_ENG,33.76832902431488,59.12572145462036,7.105951756238937,Neutral
2182,2182,3067,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,0VXq4,0,40,2022-03-27 21:32:38,2022-09-24,5," WELL DONE!

",NOT_ENG,0.3896082052960992,12.0524674654007,87.55793571472168,Positive
2183,2183,3068,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,ddXXV,1,57,2021-10-28 21:32:38,2022-09-24,4," Nice service, good company

",NOT_ENG,0.6939839571714401,5.71993924677372,93.5860812664032,Positive
2184,2184,3069,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,nARS7,1,31,2019-09-27 21:32:38,2022-09-24,1," You only need to apply here if you are a Moelander

",NOT_ENG,5.397948995232582,86.10010147094727,8.501951396465302,Neutral
